SN,Name,brand,Production Year, Price , price_old , Price_new ,Color,Type
0,2005 Toyota MR2,Toyota,2005,"$18,900                            
+ tax & lic","$18,900 ","18,900.00",Red,Convertible
1,2007 BMW M6,BMW,2007,"$49,995                            
+ tax & lic","$49,995 ","49,995.00",Black,Convertible
2,2023 Jeep Wrangler,Jeep,2023,"$64,714                            
+ tax & lic","$64,714 ","64,714.00",Silver Zynith,Convertible
3,2019 Mazda Miata MX-5,Mazda,2019,"$38,888                            
+ tax & lic","$38,888 ","38,888.00",White,Convertible
4,2022 Ford Bronco,Ford,2022,"$75,178                            
+ tax & lic","$75,178 ","75,178.00",SHADOW BLACK,Convertible
5,2017 Mercedes-Benz SLC,Mercedes-Benz,2017,"$55,798                            
+ tax & lic","$55,798 ","55,798.00",Red,Convertible
6,2017 Ford Mustang,Ford,2017,"$45,800                            
+ tax & lic","$45,800 ","45,800.00",Red,Convertible
7,2006 Ferrari F430,Ferrari,2006,"$174,800                            
+ tax & lic","$174,800 ","174,800.00",Red,Convertible
8,2018 Ford Mustang,Ford,2018,"$48,989                            
+ tax & lic","$48,989 ","48,989.00",ORANGE FURY METALLIC TRI-COAT,Convertible
9,2008 Volkswagen New Beetle,Volkswagen,2008,"$12,900                            
+ tax & lic","$12,900 ","12,900.00",Beige,Convertible
10,2005 Porsche Boxster,Porsche,2005,"$25,991                            
+ tax & lic","$25,991 ","25,991.00",Blue,Convertible
11,2010 Jeep Wrangler,Jeep,2010,"$19,400                            
+ tax & lic","$19,400 ","19,400.00",Black,Convertible
12,2023 Jeep Wrangler,Jeep,2023,"$71,459                            
+ tax & lic","$71,459 ","71,459.00",High Velocity,Convertible
13,2013 Ford Mustang,Ford,2013,"$13,000                            
+ tax & lic","$13,000 ","13,000.00",Black,Convertible
14,2022 Audi R8,Audi,2022,"$264,990                            
+ tax & lic","$264,990 ","264,990.00",Suzuka Gray Metallic,Convertible
15,2020 Ford Mustang,Ford,2020,"$42,988                            
+ tax & lic","$42,988 ","42,988.00",Dark Blue,Convertible
16,2019 Mercedes-Benz C-Class,Mercedes-Benz,2019,"$64,800                            
+ tax & lic","$64,800 ","64,800.00",Polar White,Convertible
17,2018 BMW M4,BMW,2018,"$72,800                            
+ tax & lic","$72,800 ","72,800.00",Tanzanite Blue Metallic,Convertible
18,2006 Chrysler PT Cruiser,Chrysler,2006,"$8,988                            
+ tax & lic","$8,988 ","8,988.00",,Convertible
19,2018 BMW 4 Series,BMW,2018,"$46,910                            
+ tax & lic","$46,910 ","46,910.00",Glacier Silver Metallic,Convertible
20,2011 Maserati GranTurismo,Maserati,2011,"$59,910                            
+ tax & lic","$59,910 ","59,910.00",Black,Convertible
21,2011 Audi A5,Audi,2011,"$13,995                            
+ tax & lic","$13,995 ","13,995.00",Blue,Convertible
22,2007 Mercedes-Benz CLK,Mercedes-Benz,2007,"$18,988                            
+ tax & lic","$18,988 ","18,988.00",Gray,Convertible
23,1990 Chevrolet Corvette,Chevrolet,1990,"$13,999                            
+ tax & lic","$13,999 ","13,999.00",Red,Convertible
24,2014 Jeep Wrangler,Jeep,2014,"$23,800                            
+ tax & lic","$23,800 ","23,800.00",Bright White Clearcoat,Convertible
25,2018 Jeep Wrangler,Jeep,2018,"$33,800                            
+ tax & lic","$33,800 ","33,800.00",FIRECRACKER RED,Convertible
26,2001 Chevrolet Corvette,Chevrolet,2001,"$20,400                            
+ tax & lic","$20,400 ","20,400.00",Speedway White,Convertible
27,2019 Jeep Wrangler,Jeep,2019,"$57,795                            
+ tax & lic","$57,795 ","57,795.00",FIRECRACKER RED,Convertible
28,2007 BMW 328i,BMW,2007,"$22,885                            
+ tax & lic","$22,885 ","22,885.00",Alpine White,Convertible
29,2015 Jeep Wrangler,Jeep,2015,"$25,998                            
+ tax & lic","$25,998 ","25,998.00",Black,Convertible
30,2022 Mercedes-Benz SL-Class,Mercedes-Benz,2022,"$228,855                            
+ tax & lic","$228,855 ","228,855.00",MANUFAKTUR OPALITH WHITE MET,Convertible
31,2021 Mazda Miata MX-5,Mazda,2021,"$45,000                            
+ tax & lic","$45,000 ","45,000.00",Jet Black Mica,Convertible
32,2019 BMW i8,BMW,2019,"$146,888                            
+ tax & lic","$146,888 ","146,888.00",White,Convertible
33,2022 Ford Bronco,Ford,2022,"$65,229                            
+ tax & lic","$65,229 ","65,229.00",Cyber Orange Metallic Tri-Coat,Convertible
34,1976 Triumph Spitfire,Triumph,1976,"$11,888                            
+ tax & lic","$11,888 ","11,888.00",Yellow,Convertible
35,2019 Jeep Wrangler,Jeep,2019,"$54,995                            
+ tax & lic","$54,995 ","54,995.00",Yellow,Convertible
36,2018 Jeep Wrangler,Jeep,2018,"$39,995                            
+ tax & lic","$39,995 ","39,995.00",Granite Crystal Metallic Clearcoat,Convertible
37,2020 Ford Mustang,Ford,2020,"$35,995                            
+ tax & lic","$35,995 ","35,995.00",Blue,Convertible
38,2012 Fiat 500,Fiat,2012,"$9,958                            
+ tax & lic","$9,958 ","9,958.00",Brown,Convertible
39,2021 Jeep Wrangler,Jeep,2021,"$69,995                            
+ tax & lic","$69,995 ","69,995.00",Sting-Grey,Convertible
40,2022 Jeep Wrangler,Jeep,2022,"$59,995                            
+ tax & lic","$59,995 ","59,995.00",Sarge Green,Convertible
41,2015 Ford Mustang,Ford,2015,"$28,995                            
+ tax & lic","$28,995 ","28,995.00",Black,Convertible
42,2015 Audi A3,Audi,2015,"$32,800                            
+ tax & lic","$32,800 ","32,800.00",Red,Convertible
43,2021 Mercedes-Benz E-Class,Mercedes-Benz,2021,"$95,910                            
+ tax & lic","$95,910 ","95,910.00",Silver,Convertible
44,2019 Ford Mustang,Ford,2019,"$48,900                            
+ tax & lic","$48,900 ","48,900.00",Blue,Convertible
45,2022 Ford Bronco,Ford,2022,"$74,334                            
+ tax & lic","$74,334 ","74,334.00",Velocity Blue Metallic,Convertible
46,2000 Ford Mustang,Ford,2000," $10,495                            
+ tax & lic ","$10,495 ","10,495.00",Burgundy,Convertible
47,2013 Smart fortwo,Smart,2013,"$9,995                            
+ tax & lic","$9,995 ","9,995.00",Crystal White,Convertible
48,2013 Audi S5,Audi,2013,"$28,888                            
+ tax & lic","$28,888 ","28,888.00",Black,Convertible
